Temperature (K),Hard Sphere B2 (Å^3/mol),Square Well B2 (Å^3/mol),Lennard Jones B2 (Å^3/mol)
129.42942942942943,4.938475327929691e+25,-1.2136443352200526e+26,-1.0239233734932064e+26
130.13013013013014,4.938475327929691e+25,-1.1997541777379632e+26,-1.014057666134874e+26
130.83083083083082,4.938475327929691e+25,-1.1860786327388386e+26,-1.0043260168040874e+26
131.53153153153153,4.938475327929691e+25,-1.1726129169018986e+26,-9.94725747506007e+25
132.23223223223223,4.938475327929691e+25,-1.1593523846774554e+26,-9.85254250706783e+25
132.93293293293294,4.938475327929691e+25,-1.1462925234544541e+26,-9.759089870419572e+25
133.63363363363362,4.938475327929691e+25,-1.1334289489269264e+26,-9.666874831133403e+25
134.33433433433433,4.938475327929691e+25,-1.1207574006499542e+26,-9.575873293704024e+25
135.03503503503504,4.938475327929691e+25,-1.1082737377763128e+26,-9.4860617807245e+25
135.73573573573574,4.938475327929691e+25,-1.0959739349653568e+26,-9.397417413280296e+25
136.43643643643645,4.938475327929691e+25,-1.0838540784562077e+26,-9.309917892081744e+25
137.13713713713713,4.938475327929691e+25,-1.071910362297686e+26,-9.223541479302816e+25
137.83783783783784,4.938475327929691e+25,-1.0601390847278167e+26,-9.138266981095785e+25
138.53853853853855,4.938475327929691e+25,-1.0485366446961398e+26,-9.054073730752601e+25
139.23923923923923,4.938475327929691e+25,-1.0370995385223492e+26,-8.970941572485427e+25
139.93993993993993,4.938475327929691e+25,-1.025824356685164e+26,-8.888850845799966e+25
140.64064064064064,4.938475327929691e+25,-1.0147077807356132e+26,-8.807782370436695e+25
141.34134134134135,4.938475327929691e+25,-1.0037465803292059e+26,-8.727717431855987e+25
142.04204204204206,4.938475327929691e+25,-9.92937610371757e+25,-8.648637767244529e+25
142.74274274274273,4.938475327929691e+25,-9.82277808273879e+25,-8.57052555202143e+25
143.44344344344344,4.938475327929691e+25,-9.71764191309392e+25,-8.493363386823297e+25
144.14414414414415,4.938475327929691e+25,-9.613938540731622e+25,-8.417134284948757e+25
144.84484484484483,4.938475327929691e+25,-9.511639660340656e+25,-8.341821660243538e+25
145.54554554554554,4.938475327929691e+25,-9.410717691790132e+25,-8.267409315408414e+25
146.24624624624624,4.938475327929691e+25,-9.311145757441428e+25,-8.193881430712787e+25
146.94694694694695,4.938475327929691e+25,-9.212897660294866e+25,-8.121222553097774e+25
147.64764764764766,4.938475327929691e+25,-9.115947862936008e+25,-8.049417585653135e+25
148.34834834834834,4.938475327929691e+25,-9.02027146724793e+25,-7.978451777453382e+25
149.04904904904905,4.938475327929691e+25,-8.92584419485756e+25,-7.90831071373867e+25
149.74974974974975,4.938475327929691e+25,-8.832642368285744e+25,-7.838980306427171e+25
150.45045045045043,4.938475327929691e+25,-8.74064289277179e+25,-7.770446784945873e+25
151.15115115115114,4.938475327929691e+25,-8.649823238745064e+25,-7.7026966873674105e+25
151.85185185185185,4.938475327929691e+25,-8.560161424917025e+25,-7.635716851841237e+25
152.55255255255256,4.938475327929691e+25,-8.471636001968612e+25,-7.569494408307735e+25
153.25325325325326,4.938475327929691e+25,-8.384226036808957e+25,-7.50401677048449e+25
153.95395395395394,4.938475327929691e+25,-8.297911097382377e+25,-7.439271628114399e+25
154.65465465465465,4.938475327929691e+25,-8.212671238001866e+25,-7.375246939465687e+25
155.35535535535536,4.938475327929691e+25,-8.128486985188074e+25,-7.311930924074418e+25
156.05605605605604,4.938475327929691e+25,-8.045339323993793e+25,-7.2493120557203624e+25
156.75675675675677,4.938475327929691e+25,-7.963209684794867e+25,-7.187379055627584e+25
157.45745745745745,4.938475327929691e+25,-7.882079930529334e+25,-7.126120885881404e+25
158.15815815815816,4.938475327929691e+25,-7.80193234436717e+25,-7.065526743053812e+25
158.85885885885887,4.938475327929691e+25,-7.722749617794194e+25,-7.005586052029643e+25
159.55955955955955,4.938475327929691e+25,-7.6445148390939835e+25,-6.94628846002622e+25
160.26026026026025,4.938475327929691e+25,-7.567211482212616e+25,-6.8876238307994535e+25
160.96096096096096,4.938475327929691e+25,-7.490823395991642e+25,-6.829582239029686e+25
161.66166166166167,4.938475327929691e+25,-7.415334793755277e+25,-6.772153964880745e+25
162.36236236236238,4.938475327929691e+25,-7.3407302432384694e+25,-6.715329488726147e+25
163.06306306306305,4.938475327929691e+25,-7.266994656842991e+25,-6.6590994860364204e+25
163.76376376376376,4.938475327929691e+25,-7.194113282209314e+25,-6.603454822421839e+25
164.46446446446447,4.938475327929691e+25,-7.122071693092525e+25,-6.548386548825176e+25
165.16516516516515,4.938475327929691e+25,-7.0508557805309886e+25,-6.493885896859153e+25
